0x1E5 SCReconnectAuthPacket
0x21A SCPrepareLeaveWorldPacket
0x1E2 SCLeaveWorldGrantedPacket
0x249 SCLeaveWorldCanceledPacket
0x113 SCWorldQueuePacket
0x21  SCInitialConfigPacket
0x2C3 SCInitialConfig2Packet

0x10E SCCharacterRenamePacket
0x166 DeleteCharacterResponsePacket
0x2B8 SCCharacterDeletedPacket
0x16E CancelCharacterDeleteResponsePacket
0x169 CharacterCreationFailedPacket

0xEC SCAccountInfoPacket

0x240 SCActiveWeaponChangedPacket

0x261 CharacterResurrectedPacket

0x1C3 UnitDeathPacket

0x214 TimeOfDayPacket
0x291 DetailedTimeOfDayPacket

0x202 SCForceAttackSetPacket
